,applicant_id,Primary_applicant_age_in_years,Years_at_current_residence,Months_loan_taken_for,Principal_loan_amount,Marital_status,Savings_account_balance,Purpose,Property,Loan_history,gen_house,high_risk_applicant
0,1469590,67,4,6,1169000,single,Low,electronic equipment,real estate,critical/pending loans at other banks,male & own,0
1,1203873,22,2,48,5951000,divorced/separated/married,Low,electronic equipment,real estate,existing loans paid back duly till now,female & own,1
2,1432761,49,3,12,2096000,single,Low,education,real estate,critical/pending loans at other banks,male & own,0
3,1207582,45,4,42,7882000,single,Low,FF&E,building society savings agreement/life insurance,existing loans paid back duly till now,male & for free,0
4,1674436,53,4,24,4870000,single,Low,new vehicle,car or other,delay in paying off loans in the past,male & for free,1
5,1213971,35,4,36,9055000,single,Low,education,car or other,existing loans paid back duly till now,male & for free,0
6,1428822,53,4,24,2835000,single,High,FF&E,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,0
7,1705739,35,2,36,6948000,single,Low,used vehicle,car or other,existing loans paid back duly till now,male & rent,0
8,1715169,61,4,12,3059000,divorced/separated,Very high,electronic equipment,real estate,existing loans paid back duly till now,male & own,0
9,1722991,28,2,30,5234000,married/widowed,Low,new vehicle,car or other,critical/pending loans at other banks,male & own,1
10,1719964,25,1,12,1295000,divorced/separated/married,Low,new vehicle,car or other,existing loans paid back duly till now,female & rent,1
11,1818043,24,4,48,4308000,divorced/separated/married,Low,business,building society savings agreement/life insurance,existing loans paid back duly till now,female & rent,1
12,1231297,22,1,12,1567000,divorced/separated/married,Low,electronic equipment,car or other,existing loans paid back duly till now,female & own,0
13,1172292,60,4,24,1199000,single,Low,new vehicle,car or other,critical/pending loans at other banks,male & own,1
14,1154808,28,4,15,1403000,divorced/separated/married,Low,new vehicle,car or other,existing loans paid back duly till now,female & rent,0
15,1648542,32,2,24,1282000,divorced/separated/married,Medium,electronic equipment,car or other,existing loans paid back duly till now,female & own,1
16,1193245,53,4,24,2424000,single,Low,electronic equipment,building society savings agreement/life insurance,critical/pending loans at other banks,male & own,0
17,1740408,25,3,30,8072000,single,Low,business,car or other,no loans taken/all loans paid back duly,male & own,0
18,1250076,44,2,24,12579000,divorced/separated/married,Low,used vehicle,car or other,existing loans paid back duly till now,female & for free,1
19,1616625,31,2,24,3430000,single,High,electronic equipment,car or other,existing loans paid back duly till now,male & own,0
20,1428429,48,4,9,2134000,single,Low,new vehicle,car or other,critical/pending loans at other banks,male & own,0
21,1272219,44,3,6,2647000,single,High,electronic equipment,real estate,existing loans paid back duly till now,male & rent,0
22,1771414,48,3,10,2241000,single,Low,new vehicle,real estate,critical/pending loans at other banks,male & rent,0
23,1666563,44,4,12,1804000,single,Medium,used vehicle,building society savings agreement/life insurance,critical/pending loans at other banks,male & own,0
24,1847764,26,1,10,2069000,married/widowed,Low,FF&E,car or other,critical/pending loans at other banks,male & own,0
25,1138996,36,2,6,1374000,single,Low,FF&E,real estate,existing loans paid back duly till now,male & own,0
26,1578742,39,4,6,426000,married/widowed,Low,electronic equipment,car or other,no loans taken/all loans paid back duly,male & own,0
27,1709277,42,3,12,409000,divorced/separated/married,Very high,electronic equipment,real estate,all loans at this bank paid back duly,female & rent,0
28,1508823,34,2,7,2415000,single,Low,electronic equipment,real estate,existing loans paid back duly till now,male & own,0
29,1323870,63,4,60,6836000,single,Low,business,car or other,delay in paying off loans in the past,male & own,1
30,1414851,36,3,18,1913000,married/widowed,Very high,business,real estate,existing loans paid back duly till now,male & own,0
31,1764281,27,2,24,4020000,single,Low,FF&E,car or other,existing loans paid back duly till now,male & own,0
32,1291798,30,2,18,5866000,single,Medium,new vehicle,car or other,existing loans paid back duly till now,male & own,0
33,1873969,57,4,12,1264000,single,Low,business,car or other,critical/pending loans at other banks,male & rent,0
34,1888210,33,1,12,1474000,divorced/separated/married,Low,FF&E,building society savings agreement/life insurance,existing loans paid back duly till now,female & own,0
35,1547494,25,2,45,4746000,single,Low,electronic equipment,building society savings agreement/life insurance,critical/pending loans at other banks,male & own,1
36,1674114,31,3,48,6110000,single,Low,education,car or other,critical/pending loans at other banks,male & for free,0
37,1330233,37,2,18,2100000,single,Low,electronic equipment,real estate,existing loans paid back duly till now,male & own,1
38,1443666,37,2,10,1225000,single,Low,domestic appliances,car or other,existing loans paid back duly till now,male & own,0
39,1574283,24,3,9,458000,single,Low,electronic equipment,real estate,existing loans paid back duly till now,male & own,0
40,1866940,30,2,30,2333000,single,High,electronic equipment,car or other,existing loans paid back duly till now,male & own,0
41,1188917,26,1,12,1158000,divorced/separated,High,electronic equipment,car or other,existing loans paid back duly till now,male & own,0
42,1491485,44,4,18,6204000,single,Low,repair costs,real estate,delay in paying off loans in the past,male & own,0
43,1381317,24,4,30,6187000,married/widowed,Medium,used vehicle,car or other,critical/pending loans at other banks,male & rent,0
